layer,start_date,railway,capacity,:ID,surveillance-type,level,public_transport,STIF-zone,website,addr-street,recycling-clothes,lit,amenity,ref-FR-STIF-stop_id,comment,shelter,dpt,train,crossing,name,city,supervised,lat,maxspeed,bicycle_parking,man_made,recycling-cans,charge,source-wheelchair,description,reg,recycling-green_waste,osmId,highway,old_name,note,crossing_ref,street,loc-name,bus,recycling-paper,segregated,ref-FR-STIF,official_name,bench,button_operated,network,recycling-plastic,tactile_paving,wheelchair,barrier,fixme,route_ref,recycling-glass,recycling-glass_bottles,access,covered,ref-IDFM,district,intermittent,operator,route_ref-FR-RER_D,bicycle,lon,source,mapillary,addr-city,direction,opening_hours,type-RATP,fee,ref,foot,crossing-bollard,traffic_calming,recycling_type
,,,,292421512,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6193803,,,,,,,, Île-de-France,,292421512,,,,,Allée Boissy d'Anglas,,,,,,,,,,,,,,,,,,,,,,,,,,2.4301474,,,,,,,,,,,,
,,,,292421514,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6201506,,,,,,,, Île-de-France,,292421514,,,,,Allée Boissy d'Anglas,,,,,,,,,,,,,,,,,,,,,,,,,,2.4294698,,,,,,,,,,,,
,,,,292421516,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6209955,,,,,,,, Île-de-France,,292421516,,,,,Allée Boissy d'Anglas,,,,,,,,,,,,,,,,,,,,,,,,,,2.4291257,,,,,,,,,,,,
,,,,292421631,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6249576,,,,,,,, Île-de-France,,292421631,traffic_signals,,,,Boulevard des Coquibus,,,,,,,,,,,,,,,,,,,,,,,,,,2.4336464,,,,,,,,,,,,
,,,,292421654,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6304642,,,,,,,, Île-de-France,,292421654,traffic_signals,,,,Rue des Mazières,,,,,,,,,,,,,,,,,,,,,,,,,,2.4310632,,,,,,,,,,,,
,,,,292421655,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6305648,,,,,,,, Île-de-France,,292421655,traffic_signals,,,,Rue des Mazières,,,,,,,,,,,,,,,,,,,,,,,,,,2.4310773,,,,,,,,,,,,
,,,,292421729,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6296156,,,,,,,, Île-de-France,,292421729,,,,,Boulevard du Maréchal Leclerc,,,,,,,,,,,,,,,,,,,,,,,,,,2.4420815,,,,,,,,,,,,
,,,,292421759,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6259762,,,,,,,, Île-de-France,,292421759,,,,,Rue des Mazières,,,,,,,,,,,,,,,,,,,,,,,,,,2.4339148,,,,,,,,,,,,
,,,,292421760,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6265883,,,,,,,, Île-de-France,,292421760,,,,,Rue des Mazières,,,,,,,,,,,,,,,,,,,,,,,,,,2.4339963,,,,,,,,,,,,
,,,,292421767,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6262333,,,,,,,, Île-de-France,,292421767,,,,,Rue des Mazières,,,,,,,,,,,,,,,,,,,,,,,,,,2.4348043,,,,,,,,,,,,
,,,,292421768,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6261333,,,,,,,, Île-de-France,,292421768,,,,,Rue des Mazières,,,,,,,,,,,,,,,,,,,,,,,,,,2.4351864,,,,,,,,,,,,
,,,,292421770,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6264787,,,,,,,, Île-de-France,,292421770,,,,,Rue des Mazières,,,,,,,,,,,,,,,,,,,,,,,,,,2.4344144,,,,,,,,,,,,
,,,,292421772,,,,,,,,,,,,, Essonne,,traffic_signals,,Évry-Courcouronnes,,48.6260519,,,,,,,, Île-de-France,,292421772,crossing,,,,Boulevard de France,,,,,,,,,,,yes,,,,,,,,,,,,,,,2.4399749,,,,,,,,,,,,
,,,,292421785,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6307368,,,,,,,, Île-de-France,,292421785,,,,,Boulevard du Maréchal Leclerc,,,,,,,,,,,,,,,,,,,,,,,,,,2.4344166,,,,,,,,,,,,
,,,,292421786,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6262732,,,,,,,, Île-de-France,,292421786,,,,,Boulevard de France,,,,,,,,,,,,,,,,,,,,,,,,,,2.4397190,,,,,,,,,,,,
,,,,292421787,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6270908,,,,,,,, Île-de-France,,292421787,,,,,Boulevard de France,,,,,,,,,,,,,,,,,,,,,,,,,,2.4389267,,,,,,,,,,,,
,,,,292421789,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6270452,,,,,,,, Île-de-France,,292421789,,,,,Boulevard de France,,,,,,,,,,,,,,,,,,,,,,,,,,2.4388039,,,,,,,,,,,,
