sidewalk,layer,lanes,amenity,tactile_paving,cycleway,note,:END_ID,tunnel,oneway,width,leaf_type,fixme,train,lcn_ref,area,bicycle_road,name,leaf_cycle,railway,capacity,maxspeed,bicycle_parking,description-covid19,landuse,cycleway-left,cycleway-right,surface,natural,level,leisure,wall,bridge,vehicle,bicycle,segregated,source,:TYPE,building,ref,foot,:START_ID,bench,osmId,highway,lit,public_transport,smoothness
,,,,,,,1802214296,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,2228425612,,26660973,,,,
,,,,,,,292422059,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1802214296,,26660973,,,,
,,,,,,,1802214303,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292422059,,26660973,,,,
,,,,,,,1802214323,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1802214303,,26660973,,,,
,,,,,,,292421768,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1802214323,,26660973,,,,
,,,,,,,292421767,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421768,,26660973,,,,
,,,,,,,292421770,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421767,,26660973,,,,
,,,,,,,1958639112,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421770,,26660973,,,,
,,,,,,,292421760,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1958639112,,26660973,,,,
,,,,,,,292421759,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421760,,26660973,,,,
,,,,,,,292422006,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421759,,26660973,,,,
,,,,,,,292422007,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292422006,,26660973,,,,
,,,,,,,292422008,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292422007,,26660973,,,,
,,,,,,,292422009,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292422008,,26660973,,,,
,,,,,,,292422014,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292422009,,26660973,,,,
,,,,,,,292422015,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292422014,,26660973,,,,
,,,,,,,292422016,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292422015,,26660973,,,,
,,,,,,,292422057,,,,,,,,,,Parc Henri Fabre,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292422016,,26660973,,,,
,,,,,,,1797092381,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,292421462,,26660974,,,,
,,,,,,,292421516,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,1797092381,,26660974,,,,
,,,,,,,2286848196,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,292421516,,26660974,,,,
,,,,,,,1797092379,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,2286848196,,26660974,,,,
,,,,,,,1797092375,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,1797092379,,26660974,,,,
,,,,,,,1797092377,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,1797092375,,26660974,,,,
,,,,,,,1797092373,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,1797092377,,26660974,,,,
,,,,,,,1797092371,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,1797092373,,26660974,,,,
,,,,,,,1797092369,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,1797092371,,26660974,,,,
,,,,,,,292421514,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,1797092369,,26660974,,,,
,,,,,,,1797092353,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,292421514,,26660974,,,,
,,,,,,,1797092351,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,1797092353,,26660974,,,,
,,,,,,,1797092349,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,1797092351,,26660974,,,,
,,,,,,,292421512,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,1797092349,,26660974,,,,
,,,,,,,292421495,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,292421512,,26660974,,,,
,,,,,,,292421497,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,292421495,,26660974,,,,
,,,,,,,1797092364,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,292421497,,26660974,,,,
,,,,,,,292421499,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,1797092364,,26660974,,,,
,,,,,,,292422061,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,292421499,,26660974,,,,
,,,,,,,1797092363,,,,,,,,,,,,,,,,,forest,,,,,,,,,,,,,NEXT_NODE,,,,292422061,,26660974,,,,
